Variant,Subject,Causal5_F1_Macro,Params_M
Temporal-only,1,0.8907608705564893,0.109425
Temporal-only,2,0.877668008831526,0.109425
Temporal-only,3,0.8758549347172437,0.109425
Temporal-only,4,0.7994271938017187,0.109425
Temporal-only,5,0.8979737084443055,0.109425
Temporal-only,6,0.8696282073530548,0.109425
Temporal-only,7,0.8834841178030586,0.109425
Temporal-only,8,0.9074557970669284,0.109425
Temporal-only,9,0.8864568130425938,0.109425
Temporal-only,10,0.8453747763147448,0.109425
Temporal-only,11,0.8127101859554873,0.109425
Temporal-only,12,0.779433630072047,0.109425
Temporal-only,13,0.8844552796307086,0.109425
Temporal-only,14,0.7950608086132794,0.109425
Temporal-only,15,0.8800855267156024,0.109425
Temporal-only,16,0.8183620040578682,0.109425
Temporal-only,17,0.8488345139623813,0.109425
Temporal-only,18,0.8517667134664172,0.109425
Temporal-only,19,0.857918932827948,0.109425
Temporal-only,20,0.8201070500299328,0.109425
Temporal-only,21,0.9062044819395996,0.109425
Temporal-only,22,0.8327703049965395,0.109425
Temporal-only,23,0.8920955158494138,0.109425
Temporal-only,24,0.7457742824855195,0.109425
Temporal-only,25,0.8446654863400028,0.109425
Temporal-only,26,0.8952572016772602,0.109425
Temporal-only,27,0.8388637979484368,0.109425
Temporal-only,28,0.778963442846242,0.109425
Temporal-only,29,0.8385578606802199,0.109425
Temporal-only,30,0.8647441437902897,0.109425
Temporal-only,31,0.7587306026876466,0.109425
Temporal-only,32,0.8181931057126476,0.109425
Temporal-only,33,0.9190848814631744,0.109425
Temporal-only,34,0.8571869946791465,0.109425
Temporal-only,35,0.8429050301094486,0.109425
Temporal-only,36,0.7900452204633381,0.109425
Temporal-only,37,0.8666787033468218,0.109425
Temporal-only,38,0.8033873213365397,0.109425
Temporal-only,39,0.8638759987507839,0.109425
Temporal-only,40,0.8867716678688503,0.109425
FFT-only,1,0.897055684329773,0.093041
FFT-only,2,0.9068537642274984,0.093041
FFT-only,3,0.934640237793867,0.093041
FFT-only,4,0.816255574669633,0.093041
FFT-only,5,0.9210876110875408,0.093041
FFT-only,6,0.8946507567152453,0.093041
FFT-only,7,0.9357592235166844,0.093041
FFT-only,8,0.9243606919533822,0.093041
FFT-only,9,0.9128017955207,0.093041
FFT-only,10,0.8686424875069042,0.093041
FFT-only,11,0.8466857220999325,0.093041
FFT-only,12,0.8289814858211697,0.093041
FFT-only,13,0.9472742089111704,0.093041
FFT-only,14,0.8489239245757924,0.093041
FFT-only,15,0.9064879132294086,0.093041
FFT-only,16,0.8862684318951484,0.093041
FFT-only,17,0.8958890163816614,0.093041
FFT-only,18,0.85863944514217,0.093041
FFT-only,19,0.899955809902641,0.093041
FFT-only,20,0.8619373366180191,0.093041
FFT-only,21,0.9054509838739188,0.093041
FFT-only,22,0.8259913802449191,0.093041
FFT-only,23,0.8744536332622488,0.093041
FFT-only,24,0.7404868109749685,0.093041
FFT-only,25,0.810524675601446,0.093041
FFT-only,26,0.8962506882659458,0.093041
FFT-only,27,0.8632272170643628,0.093041
FFT-only,28,0.8085093714511259,0.093041
FFT-only,29,0.8053991317180725,0.093041
FFT-only,30,0.8715975624615766,0.093041
FFT-only,31,0.8388291875546593,0.093041
FFT-only,32,0.8317786405054464,0.093041
FFT-only,33,0.9313062974108268,0.093041
FFT-only,34,0.8739535644589854,0.093041
FFT-only,35,0.8554837585166376,0.093041
FFT-only,36,0.7987169206279214,0.093041
FFT-only,37,0.8772610777941231,0.093041
FFT-only,38,0.8318243985590026,0.093041
FFT-only,39,0.8952433723990145,0.093041
FFT-only,40,0.9101749751701742,0.093041
EdgeNetTF,1,0.9260354804837326,0.189105
EdgeNetTF,2,0.8842954717905329,0.189105
EdgeNetTF,3,0.9230328196341224,0.189105
EdgeNetTF,4,0.8187385955949869,0.189105
EdgeNetTF,5,0.9258228757358108,0.189105
EdgeNetTF,6,0.8824382774772919,0.189105
EdgeNetTF,7,0.8971351299301904,0.189105
EdgeNetTF,8,0.929461536247515,0.189105
EdgeNetTF,9,0.92279762483913,0.189105
EdgeNetTF,10,0.8681632290319419,0.189105
EdgeNetTF,11,0.8469500074801304,0.189105
EdgeNetTF,12,0.817480100734765,0.189105
EdgeNetTF,13,0.9115091135214264,0.189105
EdgeNetTF,14,0.8409547619690506,0.189105
EdgeNetTF,15,0.8921185185567903,0.189105
EdgeNetTF,16,0.870109878374575,0.189105
EdgeNetTF,17,0.887321274058933,0.189105
EdgeNetTF,18,0.863630460696525,0.189105
EdgeNetTF,19,0.897844484340607,0.189105
EdgeNetTF,20,0.8520250831838708,0.189105
EdgeNetTF,21,0.9260915086399288,0.189105
EdgeNetTF,22,0.8567240968541983,0.189105
EdgeNetTF,23,0.887092590837728,0.189105
EdgeNetTF,24,0.7608715423770593,0.189105
EdgeNetTF,25,0.8301226108101134,0.189105
EdgeNetTF,26,0.9090539659916248,0.189105
EdgeNetTF,27,0.8822400897529316,0.189105
EdgeNetTF,28,0.8150523864740957,0.189105
EdgeNetTF,29,0.8466108065449646,0.189105
EdgeNetTF,30,0.8766735131141076,0.189105
EdgeNetTF,31,0.8309849658011895,0.189105
EdgeNetTF,32,0.8419450821825436,0.189105
EdgeNetTF,33,0.9205053516954952,0.189105
EdgeNetTF,34,0.8929392211258321,0.189105
EdgeNetTF,35,0.8616908925362489,0.189105
