Model,Subject,Causal5_F1_Macro,Params_M
CNN1D,1,0.8746143742574437,0.191729
CNN1D,2,0.8280737071734425,0.191729
CNN1D,3,0.8420948927963414,0.191729
CNN1D,4,0.7577810850634555,0.191729
CNN1D,5,0.8779063322572781,0.191729
CNN1D,6,0.8191069033489239,0.191729
CNN1D,7,0.8306126890204458,0.191729
CNN1D,8,0.8976508304506341,0.191729
CNN1D,9,0.8758755456377699,0.191729
CNN1D,10,0.8295624149272867,0.191729
CNN1D,11,0.7860882601245556,0.191729
CNN1D,12,0.7313170936632831,0.191729
CNN1D,13,0.8502040477230197,0.191729
CNN1D,14,0.7322802678911696,0.191729
CNN1D,15,0.8544716321375263,0.191729
CNN1D,16,0.7943396622219979,0.191729
CNN1D,17,0.8149441320479827,0.191729
CNN1D,18,0.7949714405899647,0.191729
CNN1D,19,0.8372490270344257,0.191729
CNN1D,20,0.8070689599089765,0.191729
CNN1D,21,0.8682480951935694,0.191729
CNN1D,22,0.8074244640944338,0.191729
CNN1D,23,0.863785565417557,0.191729
CNN1D,24,0.6906688338629438,0.191729
CNN1D,25,0.8095335967933593,0.191729
CNN1D,26,0.8430664143609784,0.191729
CNN1D,27,0.7820394117809509,0.191729
CNN1D,28,0.7409559225405222,0.191729
CNN1D,29,0.8031576764394173,0.191729
CNN1D,30,0.8428574620799135,0.191729
CNN1D,31,0.7365105846874579,0.191729
CNN1D,32,0.7804651022582461,0.191729
CNN1D,33,0.8698380531725163,0.191729
CNN1D,34,0.8295849184763089,0.191729
CNN1D,35,0.8131724363750421,0.191729
CNN1D,36,0.7683063794700667,0.191729
CNN1D,37,0.8352084882597435,0.191729
CNN1D,38,0.7519722233871589,0.191729
CNN1D,39,0.8381673200223669,0.191729
CNN1D,40,0.8536438408459344,0.191729
MobileNetV2_1D,1,0.7415739555553562,0.801681
MobileNetV2_1D,2,0.6470881773688114,0.801681
MobileNetV2_1D,3,0.7060449650621616,0.801681
MobileNetV2_1D,4,0.5734990377902045,0.801681
MobileNetV2_1D,5,0.723798745702833,0.801681
MobileNetV2_1D,6,0.7076202393322911,0.801681
MobileNetV2_1D,7,0.7211870542993903,0.801681
MobileNetV2_1D,8,0.7634049344216511,0.801681
MobileNetV2_1D,9,0.7639414625045415,0.801681
MobileNetV2_1D,10,0.6432502153187842,0.801681
MobileNetV2_1D,11,0.6434539366699052,0.801681
MobileNetV2_1D,12,0.582210391532998,0.801681
MobileNetV2_1D,13,0.6887585004521695,0.801681
MobileNetV2_1D,14,0.6139474685930661,0.801681
MobileNetV2_1D,15,0.723651488139961,0.801681
MobileNetV2_1D,16,0.6520828022735777,0.801681
MobileNetV2_1D,17,0.6563811217853569,0.801681
MobileNetV2_1D,18,0.615070351569348,0.801681
MobileNetV2_1D,19,0.6756259759621058,0.801681
MobileNetV2_1D,20,0.7011578586948546,0.801681
MobileNetV2_1D,21,0.6949198940765084,0.801681
MobileNetV2_1D,22,0.6272407550307246,0.801681
MobileNetV2_1D,23,0.6825500152795265,0.801681
MobileNetV2_1D,24,0.5289572763552737,0.801681
MobileNetV2_1D,25,0.6498784267881427,0.801681
MobileNetV2_1D,26,0.6948425413858365,0.801681
MobileNetV2_1D,27,0.6182578483822583,0.801681
MobileNetV2_1D,28,0.6110674414494768,0.801681
MobileNetV2_1D,29,0.6220070888491585,0.801681
MobileNetV2_1D,30,0.7216988334388807,0.801681
MobileNetV2_1D,31,0.5433440874784383,0.801681
MobileNetV2_1D,32,0.6683547339930159,0.801681
MobileNetV2_1D,33,0.779517837185943,0.801681
MobileNetV2_1D,34,0.6122788749531134,0.801681
MobileNetV2_1D,35,0.6647083071270459,0.801681
MobileNetV2_1D,36,0.5923418498108439,0.801681
MobileNetV2_1D,37,0.7304267193796586,0.801681
MobileNetV2_1D,38,0.586089476205996,0.801681
MobileNetV2_1D,39,0.6862520459771809,0.801681
MobileNetV2_1D,40,0.7528933794469287,0.801681
ResNet1D,1,0.8493728004658665,1.907377
